method,phase,backend,seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
bandit_learned,train,,2,True,-2066.4,f75c5e40c4929708beaa2f910b0e6e1530a6c18816b16449b426d2540f08e680,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_train_3\seed_2\best_program.txt,2026-03-04T23:23:13,2026-03-04T23:32:53,
bandit_learned,train,,3,True,-2091.0,66efdf04ad06e231026ea2a766b3d38a84b6e9a63099c90f07480f78f97d725d,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_train_3\seed_3\best_program.txt,2026-03-04T23:32:53,2026-03-04T23:41:02,
bandit_learned,train,,4,True,-2089.6,1df2f48bd63b5134658ccfb3fb64e10be0cbc6b7cb650c80110cc1c5078c4791,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_train_3\seed_4\best_program.txt,2026-03-04T23:41:02,2026-03-04T23:48:20,
bandit_learned,test,,0,True,-2091.8,fc98a3ee8298c4f5a314fd63ec48d952c6361e383e7973fe8f9ddb083f5a45ed,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_test_3\seed_0\best_program.txt,2026-03-04T23:48:24,2026-03-04T23:52:13,
bandit_learned,test,,1,True,-2091.8,30a55efa38b434ee6af254b487402a3d691bd0bdd10db3743658ee4ecf0ee307,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_test_3\seed_1\best_program.txt,2026-03-04T23:52:13,2026-03-04T23:56:36,
bandit_learned,test,,2,True,-2091.8,c40b31bf9618f4bb5b3e9b03500d1c6d735dcf3df58dc0645daf5e58690f3cc2,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_test_3\seed_2\best_program.txt,2026-03-04T23:56:36,2026-03-05T00:00:42,
bandit_learned,test,,3,True,-2091.8,4608aa52cafe0d36bbf4865bbd81627bda5eb23b13d20df2c819f3c6f13d069a,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_test_3\seed_3\best_program.txt,2026-03-05T00:00:42,2026-03-05T00:05:32,
bandit_learned,test,,4,True,-2056.2,ee97bdba53d2c79b393782d5c139f5f7ab3321ea190ca3ce5cafaabeecc94ee4,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_test_3\seed_4\best_program.txt,2026-03-05T00:05:32,2026-03-05T00:09:42,
statistic_llmrouter,train,,0,True,-2042.4,fc7f5bb987ac3bc37a86e6809ded8d61d3a0861ab16b2038d9ec5b68363a117a,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_0\best_program.txt,2026-03-05T00:09:47,2026-03-05T00:23:40,
statistic_llmrouter,train,,1,True,-2089.0,b10ac4b8984a0f76f2eba265b12fa20305b83b59062f208497e4752ee323a7c1,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_1\best_program.txt,2026-03-05T00:23:40,2026-03-05T00:34:45,
